Year,Emissions
1970,1022.1847536929
1971,1012.1488724805
1972,1055.2802644502
1973,1169.0730296201
1974,1164.3157098665
1975,1106.1929373332
1976,1142.4064363968
1977,1170.2999335692
1978,1164.6230847951
1979,1190.2925254511
1980,1160.5703876908
1981,1133.9380106174
1982,1091.2881435837
1983,1094.9523107998
1984,1168.0785472138
1985,1140.2436581356
1986,1135.9852748532
1987,1138.4251725745
1988,1212.8310763187
1989,1243.7669272635
1990,1321.8076580175
1991,1335.7878953074
1992,1345.1466378787
1993,1341.3989869693
1994,1402.799414843
1995,1420.0895803453
1996,1432.4407795302
1997,1414.0025634829
1998,1357.9156592233
1999,1388.6490533186
2000,1391.8813990879
2001,1369.3437741343
2002,1398.0191514519
2003,1402.5475685349
2004,1393.4214217949
2005,1402.6075117934
2006,1373.099375519
2007,1408.2422162763
2008,1331.911446628
2009,1263.8381262208
2010,1326.7199153177
2011,1376.054099778
2012,1413.3905025257
2013,1429.6462295899
2014,1377.6102845459
2015,1335.5679089191
2016,1321.9629179634
2017,1306.923414341
2018,1265.9947208829
2019,1226.8858706279
2020,1161.7754201794
2021,1175.4208284576
2022,1182.7698935946
