Year,Emissions
1970,259.46098613022
1971,264.19338249735
1972,271.77706037347
1973,281.15601432525
1974,287.1222682098
1975,293.92315271386
1976,299.36313679552
1977,299.82528497022
1978,304.72491050353
1979,306.40594838348
1980,306.69510898322
1981,297.1886129028
1982,292.36573035866
1983,291.02103511099
1984,297.252330421
1985,288.85506399529
1986,290.97066739264
1987,297.05711435206
1988,301.96019753045
1989,303.60130434666
1990,349.54068180892
1991,355.99353313159
1992,360.39461502541
1993,314.62742526426
1994,280.54716797554
1995,244.39631776286
1996,215.65629483076
1997,189.0538819125
1998,188.54274977993
1999,174.10419537308
2000,178.76865376068
2001,177.14715782475
2002,193.38294958247
2003,213.46664698112
2004,228.70230509158
2005,243.16871852105
2006,268.97168932941
2007,282.55601680495
2008,327.47365031172
2009,300.85327756977
2010,320.32830040732
2011,339.33191395404
2012,337.54564453656
2013,357.3698161801
2014,310.21321414998
2015,276.03521020405
2016,289.65582928455
2017,308.90767800014
2018,313.89932262193
2019,300.34450935173
2020,308.44244619761
2021,319.11828623236
2022,331.53015220879
