Year,Emissions
1970,73.341767245505
1971,75.94218011944
1972,79.312096010608
1973,72.413398621424
1974,60.634137445724
1975,51.461937706313
1976,52.897233542168
1977,50.987150264923
1978,57.281241180522
1979,67.09711235262
1980,55.82326805489
1981,47.984450575871
1982,46.624085018416
1983,52.216692383683
1984,54.358205910841
1985,58.087785878763
1986,64.685234174626
1987,69.393949761712
1988,79.898802583021
1989,93.192414795565
1990,49.868172977879
1991,46.059129406495
1992,45.041249919494
1993,62.38717192945
1994,70.845543169196
1995,68.679400070775
1996,69.16900926723
1997,73.859871646841
1998,75.078302540846
1999,77.481299260642
2000,86.182183141159
2001,88.134957931618
2002,91.636557919809
2003,101.41831212318
2004,106.06516126003
2005,117.47334208414
2006,120.76257307289
2007,116.75005379793
2008,121.56593132083
2009,120.90718810411
2010,124.12313801409
2011,130.91497010506
2012,134.77220140927
2013,137.66127874532
2014,135.88037794989
2015,140.9755963103
2016,145.77363447842
2017,144.11233760841
2018,147.86207491319
2019,149.68430940181
2020,148.89459560259
2021,156.05508074436
2022,167.86195689153
