Year,Emissions
1970,7.2198791068274
1971,7.1079902122826
1972,7.0169056133776
1973,6.9745535858187
1974,7.1080635027714
1975,6.9302293656916
1976,6.0008491063574
1977,6.3223083810433
1978,6.5174864875186
1979,7.2427673478126
1980,7.839031358338
1981,7.687803341884
1982,7.8563969961833
1983,7.5927672864402
1984,7.6071971014067
1985,7.6310571211074
1986,7.6827367344863
1987,7.4037895163132
1988,7.4115739054033
1989,7.8237453585573
1990,8.2403238431179
1991,8.0595032669976
1992,8.3472842164897
1993,8.4235149987524
1994,8.8853748228438
1995,9.0158269602297
1996,9.3147746766871
1997,9.6453430343712
1998,9.3343200578268
1999,9.3953962445368
2000,10.34358820269
2001,10.758287931603
2002,11.052169545748
2003,11.395213434957
2004,11.902254344094
2005,11.73591642662
2006,12.336183882127
2007,12.86516005942
2008,13.565184831343
2009,14.582102121328
2010,15.483834956569
2011,15.514736521386
2012,16.634615913671
2013,17.249368482504
2014,18.193887620657
2015,23.209757945046
2016,30.84985587422
2017,34.1859088143
2018,34.843942752121
2019,34.702496894704
2020,35.492664845527
2021,36.61982302034
2022,36.861543666264
