Year,Emissions
1970,18.089708947188
1971,18.536409348682
1972,19.416283522764
1973,20.374662675527
1974,21.293622687426
1975,22.605506690373
1976,23.105202905391
1977,23.518755145535
1978,24.333264877332
1979,24.791633296467
1980,25.523038292458
1981,25.498688254388
1982,25.945989056034
1983,26.309664079308
1984,26.662799666271
1985,26.958423938465
1986,27.604854507283
1987,28.306709206093
1988,28.480828581661
1989,28.557702331012
1990,27.266525654588
1991,25.391461534465
1992,21.289229977339
1993,18.014528509061
1994,14.890276086581
1995,12.966987539092
1996,12.950635496236
1997,12.385467398104
1998,11.83042282114
1999,11.120840488315
2000,10.229713205837
2001,10.851734096475
2002,10.903608649414
2003,11.232902829191
2004,11.444379781839
2005,11.74235618149
2006,12.438233682134
2007,12.95110037247
2008,12.296148707392
2009,11.552772814413
2010,12.626579133858
2011,12.105264800656
2012,12.075244661107
2013,11.856563502089
2014,11.682344331518
2015,11.951966204379
2016,11.965987668739
2017,11.813629773884
2018,12.373145643461
2019,12.22267010639
2020,11.641339990601
2021,11.628119121993
2022,11.107760337734
