Year,Emissions
1970,131.65058590854
1971,119.71863481369
1972,97.699315257394
1973,94.998387628151
1974,67.587591815768
1975,70.20854312142
1976,90.41683047116
1977,95.86336809919
1978,95.082836607973
1979,102.71503921277
1980,94.614408523811
1981,69.238211462199
1982,72.666823477863
1983,69.734369778839
1984,69.895583372592
1985,67.497927188753
1986,70.469255616175
1987,67.730761863839
1988,75.801062106215
1989,75.122384423005
1990,86.632302527453
1991,84.011897098387
1992,78.91373751977
1993,75.097369151565
1994,91.106640692249
1995,101.04461329162
1996,105.53646063768
1997,93.045104529283
1998,88.861468216342
1999,86.967030586312
2000,91.342593825575
2001,88.000120673765
2002,88.189871087249
2003,97.557369992724
2004,96.634996062188
2005,105.17952665582
2006,104.03376837597
2007,98.154198732042
2008,102.7313717414
2009,102.76251634669
2010,108.77286509604
2011,64.593572418146
2012,102.57377096129
2013,94.96007197263
2014,85.76596131742
2015,76.093606482456
2016,73.30452527674
2017,85.377127858938
2018,91.381985979169
2019,94.678929103324
2020,69.475495650879
2021,101.46761708848
2022,104.51388027511
