Year,Emissions
1970,20.98152918416
1971,20.01662311402
1972,20.462275677267
1973,20.891481310611
1974,21.234611740818
1975,21.559383734774
1976,21.538140627981
1977,22.417198322947
1978,23.664445175665
1979,23.78931953513
1980,24.534016789858
1981,24.495813055167
1982,24.688184297878
1983,24.707044455432
1984,24.989649798842
1985,24.717584487456
1986,24.797986967246
1987,24.597972099255
1988,24.778506921766
1989,24.767693042498
1990,25.245040462531
1991,25.31221831384
1992,25.659675668393
1993,26.202545022676
1994,25.852771567356
1995,26.381467306249
1996,26.468401784792
1997,26.749680383568
1998,27.245328183649
1999,27.440222557265
2000,27.669426655267
2001,25.75431588429
2002,24.021959031388
2003,25.078092022749
2004,25.68588036187
2005,28.167961646734
2006,28.502814087506
2007,29.133036293199
2008,29.676793644191
2009,30.047379680177
2010,30.686488120455
2011,30.86716951836
2012,32.148792866811
2013,31.619057157944
2014,33.21279507605
2015,33.642556714028
2016,33.78405442187
2017,34.371913713664
2018,33.184261040117
2019,35.213978689643
2020,35.029425162953
2021,35.141694251125
2022,34.979769419145
