Year,Emissions
1970,2.7392058351502
1971,2.8443160858931
1972,3.0286961030259
1973,3.1067893001558
1974,3.2555127752868
1975,3.374063649999
1976,3.5387071008221
1977,3.6251738038552
1978,3.7225447833079
1979,3.7892155316886
1980,3.8845296114796
1981,4.0164619268861
1982,4.1123844968799
1983,4.1663267603889
1984,4.2968246066274
1985,4.5897099841095
1986,4.7053208805578
1987,5.0374380942024
1988,4.767636974144
1989,4.9578362792011
1990,6.3968923070194
1991,6.6492220783513
1992,6.7905774540855
1993,6.8459242024638
1994,6.7831125702999
1995,6.8981865321412
1996,7.1138699342474
1997,7.3313318279957
1998,7.8404806664261
1999,8.0329682339937
2000,8.6745596769124
2001,8.7686247607529
2002,8.8279863221285
2003,9.0374548377498
2004,9.1292272407957
2005,9.7355401596015
2006,10.215068290851
2007,10.903510729159
2008,11.484966652071
2009,11.660983269819
2010,12.447060513266
2011,14.103595205654
2012,14.459470969861
2013,14.184436636705
2014,14.536833844565
2015,14.931517546546
2016,15.33841409304
2017,16.290097029251
2018,17.550187624655
2019,18.921079828791
2020,18.944151751284
2021,19.744225398082
2022,20.919481192409
