Year,Emissions
1970,12.192630790715
1971,12.42515023188
1972,11.104620801608
1973,10.491310545523
1974,9.7393759402822
1975,10.560236236345
1976,10.730951811278
1977,10.855725805807
1978,11.183303646481
1979,12.46841789631
1980,13.402695624769
1981,14.049330032189
1982,14.798194292533
1983,13.286779236505
1984,11.954637457182
1985,11.340704301564
1986,11.603888050186
1987,11.886979034511
1988,12.480315428663
1989,12.981445844011
1990,13.389380872875
1991,13.591362135156
1992,13.485083612478
1993,13.688210914606
1994,14.134296627459
1995,14.584583676272
1996,14.973302595144
1997,15.136941021416
1998,15.881942015343
1999,16.574287385872
2000,17.595990723122
2001,18.620077485815
2002,19.605869256974
2003,20.582595729164
2004,21.279253233854
2005,22.415424282691
2006,22.66516422607
2007,24.066166428144
2008,25.444147328286
2009,26.814916286687
2010,28.413040447338
2011,29.254154156353
2012,30.42798564188
2013,32.140005612258
2014,33.342362817876
2015,35.310662831109
2016,38.689986651558
2017,41.132647341739
2018,43.13262139738
2019,44.459289775109
2020,45.586830318626
2021,47.44891285438
2022,49.383213005877
