Year,Emissions
1970,0.79163312195563
1971,0.79706727279589
1972,0.96808935048294
1973,0.93501812024536
1974,0.86271992287192
1975,0.79051722263531
1976,0.88791576790146
1977,0.93581196008536
1978,1.0686933600594
1979,1.0442623567631
1980,1.1409248900698
1981,1.2753340614055
1982,1.445573037699
1983,1.1079891212804
1984,1.4747774946312
1985,1.3057511500741
1986,2.0340004642753
1987,2.1286939673357
1988,2.305822519792
1989,2.4915641597693
1990,2.4898360790412
1991,2.391978760488
1992,2.3607344782073
1993,3.007776815576
1994,2.7120685007972
1995,2.5828798522493
1996,2.5307274160661
1997,2.6860394076168
1998,2.5912948468485
1999,2.633807901174
2000,2.3570149644719
2001,2.7357650244551
2002,2.5605150496723
2003,2.8617951305751
2004,2.8618404258105
2005,2.9218909137053
2006,2.9907240609161
2007,3.0781871435176
2008,3.1099711848528
2009,2.9192655721854
2010,3.0145269126917
2011,3.0449231881054
2012,3.1259822347037
2013,2.7946438013847
2014,2.7956918621056
2015,2.1224576410313
2016,1.8324532517442
2017,2.0136648212312
2018,2.0302168062981
2019,2.1355719016377
2020,2.0870018972972
2021,2.1354833542708
2022,2.1781684453507
