Year,Emissions
1970,20.8723972694
1971,21.270362496856
1972,22.349539132996
1973,23.552441761723
1974,24.717677488645
1975,26.226013133918
1976,26.791590221107
1977,27.388960039055
1978,28.433422728874
1979,29.108392528239
1980,30.364014377486
1981,30.313639259555
1982,30.743490498016
1983,31.098232227128
1984,31.600454686062
1985,32.127495068488
1986,33.193222018025
1987,34.170036980796
1988,34.635443123744
1989,34.748298061274
1990,37.447095932707
1991,30.966425104233
1992,25.365113434852
1993,21.56050416492
1994,18.521103829878
1995,16.398365815556
1996,14.53394294472
1997,13.243109995965
1998,11.944928308829
1999,10.488799803196
2000,9.827256714796
2001,10.028972960598
2002,10.279209377643
2003,10.859903486865
2004,10.892354699165
2005,11.180619138472
2006,10.984601184161
2007,10.839270513051
2008,10.509436179363
2009,10.319188502362
2010,11.459772206319
2011,11.668439127312
2012,11.32562826844
2013,10.678798187676
2014,11.22762039804
2015,11.541653119452
2016,11.837290644096
2017,11.870271777514
2018,12.570040679318
2019,12.629680455935
2020,12.338713531235
2021,12.956360981377
2022,12.320347384283
