Year,Emissions
1970,15.872568873979
1971,16.255927523906
1972,15.890168469506
1973,16.408423784119
1974,17.165821661519
1975,17.835070442814
1976,18.171306818394
1977,18.955739826132
1978,19.366405107664
1979,20.232505969271
1980,21.076302480346
1981,20.205384590266
1982,21.139898694216
1983,21.58296845179
1984,21.97004239557
1985,23.553473981573
1986,24.786866125837
1987,25.853234177719
1988,26.87245068891
1989,26.249144487633
1990,25.92437094398
1991,28.907939836833
1992,26.638977154626
1993,25.343417455609
1994,23.369358290206
1995,24.210621752848
1996,22.917564858878
1997,23.2032537239
1998,23.930497691487
1999,24.616345024685
2000,25.377275631975
2001,23.169604560483
2002,21.080552739572
2003,20.424290803954
2004,20.362457739253
2005,25.063551434907
2006,28.176250296273
2007,31.07716602338
2008,31.989008190324
2009,35.63783748097
2010,38.508679258461
2011,43.927643173861
2012,45.013512777679
2013,47.260850259578
2014,49.796958673622
2015,48.375649325818
2016,56.152174742113
2017,62.660428540416
2018,65.931260354338
2019,70.170899601279
2020,64.732111105399
2021,62.161284396619
2022,62.790307078108
