Year,Emissions
1970,24.016494716269
1971,24.747173132959
1972,25.247315469159
1973,26.738073917083
1974,27.573723549926
1975,28.596640519248
1976,29.820886623625
1977,30.995662985257
1978,32.756324460715
1979,34.032380182565
1980,35.342285171871
1981,35.075847485943
1982,33.819665748985
1983,35.582032026577
1984,35.604455445677
1985,37.443263586716
1986,39.424987790501
1987,41.097828799294
1988,41.836715014501
1989,44.190923234278
1990,45.249714445389
1991,46.257311640399
1992,47.871141194488
1993,47.731103969186
1994,50.729619091625
1995,52.083255372565
1996,52.587478885775
1997,55.098881574689
1998,56.246437559538
1999,58.675697738037
2000,60.15147653386
2001,64.028093132297
2002,65.660039156533
2003,66.271050122392
2004,71.307457320092
2005,74.237829795731
2006,76.138628754091
2007,77.159025001525
2008,80.249094476599
2009,80.712471869837
2010,84.723571313734
2011,90.193328512766
2012,93.030107901781
2013,94.043399978124
2014,95.58406102168
2015,97.883843899758
2016,98.349208100165
2017,102.36504980543
2018,104.4321400106
2019,111.79477803698
2020,108.00913676945
2021,117.30043360446
2022,114.77070327293
