Year,Emissions
1970,71.740526005798
1971,71.461211444051
1972,69.45698666426
1973,71.781740392254
1974,72.144368851335
1975,73.35782742667
1976,72.743402846218
1977,72.841495940056
1978,74.607917492642
1979,70.865690766305
1980,74.522926308964
1981,75.395253082256
1982,74.745737652167
1983,75.746969496766
1984,76.180297016218
1985,77.670727252835
1986,77.644259303046
1987,74.506568692316
1988,74.50490183983
1989,73.567624335581
1990,72.767100971429
1991,71.109647960609
1992,75.026120699759
1993,77.713733811885
1994,80.595241393207
1995,84.069814960249
1996,83.085665190482
1997,81.005728906444
1998,82.616335738315
1999,88.804273006073
2000,91.328538896715
2001,92.183376570403
2002,94.473076743562
2003,100.84317488727
2004,104.82632317381
2005,111.05963331761
2006,115.77077842201
2007,118.25099630617
2008,116.59336383691
2009,116.86585545328
2010,119.19907555189
2011,118.17935796817
2012,120.32113333116
2013,123.60348864838
2014,130.22553000539
2015,134.82789209012
2016,140.79350589459
2017,157.46949202697
2018,160.09760146495
2019,162.10912187252
2020,163.50660939586
2021,166.96224866212
2022,169.38691122345
