Year,Emissions
1970,6.5442725107418
1971,6.6461455443248
1972,6.7471948249701
1973,6.8554169002254
1974,7.4989583443701
1975,5.63898034548
1976,5.6691223999004
1977,6.4100804588759
1978,6.466018593578
1979,6.8923573270881
1980,7.1384031539969
1981,6.0729737833937
1982,5.539166007565
1983,5.465467533411
1984,5.548790030335
1985,5.6496723722998
1986,6.0405498853401
1987,6.4168084602285
1988,6.7714957574493
1989,6.7425595645788
1990,6.6383907623771
1991,6.7715463712061
1992,6.7407715009449
1993,6.6721778902569
1994,6.860018378833
1995,6.9713783776591
1996,7.1624295079599
1997,7.4290664559132
1998,7.7224086654892
1999,7.895635031331
2000,8.5003279942485
2001,9.0038954325252
2002,8.5067444648753
2003,8.755017242942
2004,8.8965668502669
2005,10.697035174872
2006,9.2332705866484
2007,9.26649788637
2008,10.160989243728
2009,10.12072243275
2010,10.129998184736
2011,10.278733303359
2012,11.568053933489
2013,11.135487752989
2014,11.864610319907
2015,12.000468956638
2016,12.939321967469
2017,12.459302873156
2018,12.453188491108
2019,12.809671895053
2020,12.412822926096
2021,12.633826872378
2022,13.102837395039
