Year,Emissions
1970,182.39167025059
1971,184.31704397348
1972,203.03772581274
1973,212.68262870526
1974,208.81347124348
1975,201.35693898777
1976,212.87626975621
1977,210.84491630401
1978,216.1766063561
1979,226.93123551439
1980,219.71092081064
1981,218.06493514662
1982,206.25400160942
1983,202.97174017432
1984,210.5038909577
1985,214.8846394957
1986,217.51668006421
1987,222.06449978399
1988,221.05096650964
1989,224.15353665162
1990,228.3423944868
1991,234.17321912306
1992,232.98835366346
1993,236.5626796758
1994,238.1284792788
1995,241.22538580473
1996,253.03431315077
1997,242.752942759
1998,242.5142833322
1999,231.51608736894
2000,229.76746197324
2001,228.88327825376
2002,227.61627459617
2003,229.99234706322
2004,233.14249854344
2005,226.13148706435
2006,222.43104877193
2007,222.45666654091
2008,218.354242697
2009,212.05076376526
2010,224.39727652397
2011,210.88163732524
2012,210.57774390967
2013,209.66849606334
2014,201.0129050101
2015,208.38277769912
2016,210.41572382763
2017,206.26932125343
2018,199.82262485609
2019,193.66829416501
2020,176.88179351789
2021,178.6971545166
2022,167.84740324173
