Year,Emissions
1970,57.277360412533
1971,55.559545028625
1972,59.717067258786
1973,60.544622528363
1974,61.71608019607
1975,60.78566904069
1976,63.120827985414
1977,64.174782057994
1978,64.02979147406
1979,62.120546894396
1980,64.538255632909
1981,64.515686046548
1982,66.4574713904
1983,66.714037655869
1984,67.867795881809
1985,68.391014830799
1986,68.436097696037
1987,68.001566517599
1988,69.76006437516
1989,68.590310084347
1990,70.54439608965
1991,70.88925722967
1992,72.009227549537
1993,72.685482525277
1994,75.054451494468
1995,76.425117507171
1996,77.167868969889
1997,79.730771834014
1998,78.616857536255
1999,80.881843612376
2000,81.824098475418
2001,84.298819987365
2002,86.169036248279
2003,87.649003489242
2004,87.614869625152
2005,88.081820575286
2006,88.646582299448
2007,87.401907059213
2008,87.057334129912
2009,84.83328001877
2010,85.213371202513
2011,84.738835110657
2012,87.332700943956
2013,86.191971619389
2014,87.724106726983
2015,86.677083589887
2016,86.605837673494
2017,87.974454746554
2018,87.715676071025
2019,88.884056138084
2020,85.208681980486
2021,85.140306124311
2022,82.720400773954
