Year,Emissions
1970,9.2248556209943
1971,8.8330042286977
1972,8.9094438620616
1973,9.3348191268334
1974,9.8342962720455
1975,10.069312202438
1976,10.55379792852
1977,11.364015541895
1978,11.114328813632
1979,9.5999536748676
1980,9.3138574846305
1981,9.5486656550785
1982,9.6399772535329
1983,9.4605336416126
1984,9.6478293494021
1985,9.7514288844874
1986,9.6462080967903
1987,9.1460322793551
1988,9.3682503001134
1989,9.7305585783291
1990,10.614377050705
1991,9.5042820682024
1992,10.425479089048
1993,11.074105849056
1994,11.442610266052
1995,10.976522933071
1996,11.045180863793
1997,11.75091585428
1998,12.169553144651
1999,13.155552861665
2000,13.661846066703
2001,13.91348743436
2002,14.208867969008
2003,14.965502337948
2004,14.900779340577
2005,14.979908729617
2006,15.594908709512
2007,15.849480540504
2008,15.723223674231
2009,15.803596903261
2010,16.225159162524
2011,17.254007742657
2012,17.76106207812
2013,17.814301602644
2014,18.552054145846
2015,19.757186484459
2016,19.934144360728
2017,19.978161199992
2018,19.573475387767
2019,19.964015547624
2020,19.83910066061
2021,20.587807322315
2022,21.025224195505
