Year,Emissions
1970,11.310562512572
1971,11.660122895879
1972,11.887849292294
1973,9.1587557808842
1974,9.2394864531892
1975,9.8992984756794
1976,10.688000233686
1977,11.74537870282
1978,12.186980665039
1979,12.617693187194
1980,13.169490366736
1981,13.849110181248
1982,14.482699441816
1983,15.251807970959
1984,11.320004696921
1985,9.9084695820095
1986,10.26177553713
1987,10.592301716633
1988,10.991385495523
1989,11.418574014469
1990,11.67879841842
1991,12.119065054661
1992,12.57524441559
1993,13.31084676728
1994,13.726842187262
1995,14.28601288785
1996,15.002764668479
1997,15.779433854444
1998,16.464343311093
1999,17.098785753614
2000,17.505648741943
2001,18.301932574322
2002,19.089590473588
2003,19.937572328675
2004,20.806394403313
2005,21.581449921761
2006,22.35552112278
2007,23.270903445268
2008,24.231005576507
2009,25.319743648883
2010,25.173467672457
2011,26.020331849066
2012,27.84634917703
2013,29.266873850989
2014,30.662288283017
2015,31.790860540516
2016,33.218900034986
2017,34.528641351638
2018,36.189441020217
2019,38.047825811223
2020,39.878599039904
2021,41.567893129268
2022,43.240138759011
