Year,Emissions
1970,100.08805928392
1971,100.72123802829
1972,104.02369213983
1973,106.49378353834
1974,110.34801427765
1975,114.74517682663
1976,121.68856268834
1977,128.37690662245
1978,137.04282853583
1979,146.54818099951
1980,153.52301959787
1981,157.81763737843
1982,163.91255538393
1983,169.41257709811
1984,174.89403987475
1985,180.49635552485
1986,178.3908797903
1987,172.79127631554
1988,176.31471302385
1989,176.50645902344
1990,169.83632748553
1991,163.44693665193
1992,147.33684298395
1993,137.7089156581
1994,125.91721486816
1995,117.3435268139
1996,107.52379022338
1997,105.26646313064
1998,90.060276669434
1999,97.619316063395
2000,103.94385612541
2001,107.72584467581
2002,104.03837216565
2003,106.21402012561
2004,108.75848528762
2005,113.56318734597
2006,115.30780124728
2007,99.66750615642
2008,106.9923465137
2009,85.970139844079
2010,82.348943584883
2011,68.158944319695
2012,69.219318859348
2013,58.452512955124
2014,62.057511040578
2015,55.746016570964
2016,61.37597944408
2017,83.986797212902
2018,78.546336712382
2019,84.582472392734
2020,80.423878628255
2021,82.592832149726
2022,81.292515556594
