Year,Emissions
1970,14.172360036232
1971,14.19439992718
1972,14.05162676007
1973,14.368346496147
1974,14.72792802459
1975,34.115702139216
1976,37.66344205377
1977,37.063817436574
1978,31.61037409117
1979,28.951106135888
1980,20.229072554495
1981,22.714484777774
1982,21.044495724844
1983,24.04467631937
1984,22.960703782833
1985,22.233505504726
1986,25.562781863662
1987,25.823524273985
1988,27.951948325423
1989,28.449746367804
1990,33.464787297519
1991,40.967869939239
1992,38.172084252935
1993,36.11504062874
1994,35.299179432756
1995,40.28396324636
1996,42.545266242861
1997,45.951915922773
1998,42.326387566898
1999,46.501443878711
2000,52.020916131465
2001,58.279009251973
2002,61.448142209131
2003,67.080568013186
2004,65.593335028085
2005,66.647755035841
2006,74.566515443154
2007,76.450259839261
2008,75.867349723655
2009,78.11420063761
2010,82.9228777959
2011,92.483434331037
2012,101.63932316714
2013,106.89377619626
2014,111.24705640425
2015,117.16849263347
2016,120.79885976191
2017,121.26211003851
2018,126.00038826953
2019,127.32299605417
2020,122.64424213911
2021,131.69212883578
2022,137.24372581917
