Year,Emissions
1970,2.1497089349041
1971,2.1499159600063
1972,2.149918426637
1973,2.1500116751028
1974,2.1501092142021
1975,2.1501708735773
1976,2.1503293949502
1977,2.150394028278
1978,2.1504562543502
1979,2.1504032289287
1980,2.1502137313018
1981,2.1827564245758
1982,2.1673406681639
1983,2.250374463814
1984,2.4884783874249
1985,2.0144411944288
1986,2.1961117076854
1987,2.3024011614365
1988,2.2040973347204
1989,2.3015545078178
1990,2.3262487142788
1991,2.3089984862928
1992,2.1122441307543
1993,2.1617079721915
1994,3.2344498207775
1995,2.5375656604013
1996,2.3875993784885
1997,2.6836189190465
1998,2.4258634199104
1999,2.5867927046838
2000,2.2335091649925
2001,2.4767397688096
2002,1.508363361232
2003,1.7934161498298
2004,1.5965263380186
2005,1.841101458131
2006,1.8000774343719
2007,1.4631708337895
2008,1.4805532345945
2009,2.2818989008901
2010,2.2046329174819
2011,2.4661130397243
2012,3.7220412624933
2013,1.881455097381
2014,1.3230413615257
2015,1.2531684655419
2016,1.2006873201755
2017,1.2552554557183
2018,1.2870406329067
2019,1.3267464549882
2020,1.3357875989095
2021,1.3893502837543
2022,1.4180604836896
