Year,Emissions
1970,10.660823229672
1971,10.981148666621
1972,11.326581871613
1973,11.944774248474
1974,12.259067694004
1975,12.853410029564
1976,14.03164397069
1977,14.925861913624
1978,15.204159612471
1979,14.945507314641
1980,15.163600318776
1981,16.284774398435
1982,16.998926470213
1983,17.476872306492
1984,18.223497820877
1985,18.804967119152
1986,19.19007066291
1987,19.979782399805
1988,20.974594974483
1989,21.170055544417
1990,21.379785751267
1991,20.073611802552
1992,21.011192978145
1993,22.945602358348
1994,24.365248705348
1995,26.208823935067
1996,26.187785895568
1997,26.58589453244
1998,26.761550657103
1999,26.288368550404
2000,25.634061113318
2001,26.214023598717
2002,25.397372257051
2003,27.315324172964
2004,26.422155893169
2005,26.632464122161
2006,28.468245338946
2007,30.532101039318
2008,31.725213820879
2009,34.302090954857
2010,37.282265398583
2011,37.664435796542
2012,38.861135561799
2013,39.370441137662
2014,41.81283223171
2015,41.690792769398
2016,42.196245515061
2017,43.237076596857
2018,42.818555480579
2019,43.253617605382
2020,43.491442133598
2021,45.566045494174
2022,45.565260054004
