Year,Emissions
1970,486.54502101779
1971,498.0742831787
1972,515.44752859862
1973,540.87347203229
1974,560.34943614543
1975,580.84578913029
1976,607.14294816962
1977,622.37004299262
1978,657.99986338637
1979,660.00612616712
1980,661.36867950927
1981,601.33821241814
1982,621.62465655154
1983,622.06210760728
1984,634.43396522709
1985,641.84504781568
1986,648.54409405868
1987,660.87769714497
1988,648.02430289451
1989,616.82716495055
1990,514.6131732795
1991,503.70003053885
1992,489.54676646565
1993,485.41038670157
1994,478.47233651596
1995,479.60593630026
1996,492.78218960133
1997,484.03678661599
1998,443.77265694055
1999,430.44471511736
2000,413.21438145288
2001,408.11321209155
2002,400.87265248593
2003,410.9964991285
2004,411.40965047766
2005,412.02933927748
2006,426.26344909223
2007,424.17934395855
2008,415.82189130276
2009,397.68886475537
2010,418.10238703793
2011,414.84781365837
2012,409.90896472357
2013,403.75838534659
2014,388.46585035293
2015,389.99113080745
2016,400.04066354302
2017,413.80288794515
2018,411.11611886108
2019,392.36737968373
2020,374.33485445497
2021,406.93689869678
2022,400.82380396188
