Year,Emissions
1970,0.49218564194562
1971,0.49176712063226
1972,0.49571049156348
1973,0.5134128363634
1974,0.53910182726688
1975,0.5548520378261
1976,0.5850599150393
1977,0.61644595556169
1978,0.60108551540607
1979,0.66535813231695
1980,0.65079904537011
1981,0.65221360067184
1982,0.66763626412571
1983,0.79086855052775
1984,0.8461667362759
1985,0.84672178549587
1986,0.8636743761057
1987,1.2176546949705
1988,1.3023493739917
1989,1.2762350170601
1990,1.1631137296319
1991,1.5759805494595
1992,1.4391453576649
1993,1.6657954376273
1994,1.7178531549177
1995,1.7261607084873
1996,1.7839270854094
1997,1.7818060282452
1998,2.2637250865865
1999,2.3061222556856
2000,2.4252215239034
2001,2.4418900832265
2002,2.5523456709774
2003,2.6228651683893
2004,2.8594759775336
2005,2.7571029283218
2006,2.6768332752387
2007,2.5403075481681
2008,2.7399036081036
2009,2.8267666405851
2010,3.0395945556335
2011,2.946368845873
2012,2.7890484084677
2013,2.7055582048763
2014,2.8072114171893
2015,2.9260967742325
2016,3.0208494454144
2017,3.0567273785577
2018,3.0616655028206
2019,3.0574354969765
2020,3.0007341620952
2021,3.0623205490149
2022,3.1471616179537
