Year,Emissions
1970,180.72036892412
1971,183.18573938454
1972,189.50619908281
1973,204.57171592101
1974,208.68720138693
1975,223.17196991841
1976,241.64863602153
1977,251.59319163017
1978,268.45750928869
1979,273.65025626937
1980,270.46875511869
1981,273.70395880144
1982,271.61614879362
1983,274.19626810518
1984,274.26777823953
1985,273.75904043824
1986,276.2177529518
1987,283.56525048992
1988,287.29268994473
1989,279.26286812273
1990,245.77357762199
1991,201.34307545298
1992,181.96234782721
1993,170.99523125011
1994,166.07316559036
1995,171.53024009738
1996,175.68330506413
1997,163.3706124882
1998,146.03497656048
1999,128.26798608589
2000,133.27058489568
2001,139.03917701456
2002,138.65164779908
2003,142.49147457483
2004,142.4594747351
2005,140.12328647758
2006,145.9459735634
2007,144.80860697005
2008,142.65525160477
2009,121.55818076413
2010,119.9347874418
2011,126.02834857226
2012,123.42322034979
2013,115.50283419425
2014,116.28846926802
2015,117.5959054091
2016,117.31555934751
2017,121.01296768276
2018,122.29291507876
2019,120.5495849853
2020,114.4353382658
2021,119.9598366674
2022,117.06097006426
