Year,Emissions
1970,1910.9158435259
1971,1940.9061985984
1972,2024.7957232667
1973,2130.2750478467
1974,2224.3456414344
1975,2348.9225082788
1976,2425.8408576394
1977,2475.2579045272
1978,2540.07913228
1979,2573.2449906738
1980,2635.4156383754
1981,2627.7598417741
1982,2660.332583976
1983,2694.7834394908
1984,2732.0150070908
1985,2771.4307078261
1986,2838.883801471
1987,2908.7961164051
1988,2958.9120954868
1989,2968.208208869
1990,3053.1501757552
1991,3000.2848587704
1992,2773.8010727848
1993,2546.7684286538
1994,2308.6833150403
1995,2242.0747714517
1996,2178.5184070135
1997,2047.7968930109
1998,2037.6655073475
1999,2088.6525406241
2000,2134.3502134704
2001,2147.0748765869
2002,2137.8385880966
2003,2206.0301256769
2004,2219.0115956043
2005,2221.77282476
2006,2260.7796327734
2007,2273.3235466982
2008,2267.1925283425
2009,2147.7112877811
2010,2245.3150514929
2011,2343.0878686595
2012,2347.4658261603
2013,2299.3775374659
2014,2280.8216065671
2015,2294.7773941576
2016,2281.1098594994
2017,2339.2479512532
2018,2443.981182702
2019,2530.1952654679
2020,2432.5119663695
2021,2606.6321401845
2022,2579.7980658973
