Year,Emissions
1970,4.3483267503323
1971,4.3964842987867
1972,4.5048164842465
1973,4.6341511936733
1974,4.6865432132285
1975,4.8517492190038
1976,4.8431246854766
1977,4.9716422653994
1978,5.1012674749697
1979,4.9383250699209
1980,5.2565961336645
1981,5.4224979987061
1982,5.5751184909064
1983,5.7469130964419
1984,5.8824077572489
1985,6.0868595641036
1986,6.1770981525676
1987,6.3545398092589
1988,6.5424346374722
1989,6.7898276304028
1990,6.2197682693872
1991,5.9724882134438
1992,5.6113265294018
1993,5.317573932087
1994,5.3782870920381
1995,5.3851455067013
1996,5.6439315614712
1997,6.2567317986933
1998,4.5377738858401
1999,4.8855697278928
2000,4.7316936771058
2001,4.9223208331144
2002,5.151939729232
2003,5.2971941479979
2004,5.4553653797875
2005,5.5413259723263
2006,5.8399179838975
2007,5.9831330601436
2008,6.2105844861075
2009,6.3854470493801
2010,6.6894140185053
2011,6.6743907685772
2012,6.8702606513666
2013,7.0950160942088
2014,7.1995023100126
2015,7.8754007859581
2016,7.9367365026317
2017,8.1070548934784
2018,8.4300820254643
2019,8.6912454155834
2020,8.7325174985479
2021,8.9344442742053
2022,9.0317664085938
