Year,Emissions
1970,8.0204656050767
1971,8.1238771769509
1972,7.8537436844846
1973,7.6942032404827
1974,7.9811233897037
1975,8.2882944696187
1976,8.4735089964162
1977,8.6416563508493
1978,8.8435315793496
1979,8.9469587110139
1980,8.6455242191248
1981,8.7539700565144
1982,8.866461857101
1983,8.5738298901611
1984,8.7884861280611
1985,9.2973643701784
1986,9.5631468910779
1987,9.9187591571629
1988,9.9335326760539
1989,10.225420410793
1990,10.461702652544
1991,10.685398068284
1992,11.076749002435
1993,11.279531953149
1994,11.609270204824
1995,11.870794078077
1996,12.416763580166
1997,12.846955357409
1998,13.419518547786
1999,14.43124612173
2000,14.324693722563
2001,15.170625042222
2002,15.273043399228
2003,15.257980178258
2004,16.115655525746
2005,16.956263238661
2006,17.24536787591
2007,18.218460679849
2008,18.948278769346
2009,19.717237344339
2010,20.461718986073
2011,21.264506983262
2012,21.629952442323
2013,22.166937409057
2014,22.939088731594
2015,24.542308861187
2016,26.103934313127
2017,25.916774607761
2018,26.650160696447
2019,29.259634891035
2020,28.46689447026
2021,29.703894814031
2022,30.614531083023
