Year,Emissions
1970,3.2061682720214
1971,3.3030983923035
1972,3.2791475584147
1973,3.2930143053349
1974,3.3786185389223
1975,3.4472021830611
1976,3.5527269478581
1977,3.6038088571241
1978,3.6772731514448
1979,3.6498281026695
1980,3.6730551812014
1981,3.6137044814018
1982,3.6623366509135
1983,3.5689030494076
1984,3.3404163786944
1985,3.4660856699866
1986,3.5403566472215
1987,3.9027450739681
1988,3.9879347918734
1989,3.9260074768268
1990,4.0693300098882
1991,4.2186192220095
1992,3.8152061488559
1993,3.8472392393225
1994,3.761256413485
1995,3.7084071598372
1996,3.7434081496449
1997,3.7822350046766
1998,3.7798298070105
1999,3.6650319370435
2000,3.3947768489191
2001,3.7174715420458
2002,4.0749622601661
2003,4.299092975806
2004,4.6630236690213
2005,5.0020449271358
2006,5.5926998223465
2007,4.9042198102055
2008,5.1040787724903
2009,5.3886264018514
2010,5.7013338088575
2011,6.1335116994556
2012,6.6549360542028
2013,6.8403923258661
2014,7.1774262422214
2015,6.6525556784246
2016,6.971100702476
2017,7.0077904892268
2018,7.9222764828025
2019,6.7752297418914
2020,6.8707449198732
2021,7.0258659732746
2022,7.1230968129633
