Year,Emissions
1970,7.6481230276647
1971,7.7058162881165
1972,9.0642827035383
1973,10.030015942911
1974,10.426458019964
1975,10.441181556665
1976,11.325527339481
1977,12.533805879605
1978,14.179398808172
1979,15.209033279123
1980,15.305691753161
1981,16.498789051582
1982,17.165094033753
1983,18.516487885543
1984,20.105728505778
1985,20.94463582622
1986,21.365083289061
1987,21.77491370972
1988,24.239523430023
1989,25.635758091004
1990,34.203219383085
1991,36.260818181882
1992,37.08624890796
1993,42.941050469261
1994,45.931789351274
1995,47.370697532685
1996,49.344022068841
1997,50.960520094624
1998,55.40985248139
1999,53.374213538995
2000,57.880746846521
2001,59.465823027141
2002,52.166044329647
2003,50.622859498906
2004,53.341630485687
2005,51.21401008971
2006,51.508104747064
2007,52.229922467407
2008,51.501266562816
2009,52.527275463686
2010,59.23162826192
2011,61.642527138839
2012,59.799585772671
2013,63.269531748607
2014,65.158366639899
2015,67.029782155973
2016,65.104940574249
2017,70.397957107288
2018,68.527133676944
2019,71.024160738958
2020,69.40752522819
2021,71.339660288142
2022,70.469536674128
