Year,Emissions
1970,57.919175561254
1971,58.099095481023
1972,58.953755954132
1973,60.21018402235
1974,60.737737108573
1975,62.187563006623
1976,63.027661863327
1977,65.107676086797
1978,71.860021193683
1979,72.955454258068
1980,76.69364149889
1981,74.728811116539
1982,72.998700085968
1983,72.867500367069
1984,75.101370772
1985,74.751171385434
1986,71.815447740523
1987,73.726727868571
1988,74.793644673886
1989,74.295734756437
1990,74.711951211379
1991,64.848930247515
1992,60.279361161204
1993,58.195739746654
1994,55.673169688414
1995,55.771425861284
1996,56.4467201145
1997,55.988026022243
1998,54.925895618533
1999,54.038520085269
2000,51.426025759986
2001,52.101273945523
2002,51.57864254486
2003,52.18604000671
2004,51.848243150001
2005,52.151826289462
2006,51.889414091297
2007,51.291787180887
2008,51.233983809422
2009,47.02943545143
2010,49.56742070327
2011,48.067620274113
2012,45.838912948103
2013,46.256406345717
2014,43.402565407606
2015,44.243247637037
2016,45.210643757509
2017,47.439482684937
2018,46.786445589106
2019,44.477825942442
2020,42.4308911955
2021,46.672864038545
2022,45.564182290788
