Year,Emissions
1970,14.808781689686
1971,15.057389931598
1972,14.696864475199
1973,16.388642754888
1974,17.510263105412
1975,17.228517976071
1976,16.825348599929
1977,17.875124186872
1978,18.675434894225
1979,19.517816921406
1980,19.708085478072
1981,17.309308856027
1982,17.303312706695
1983,19.935442743587
1984,20.353399239833
1985,19.946662527242
1986,19.791716903209
1987,19.369803571743
1988,23.698661329126
1989,22.447262733664
1990,21.426111812521
1991,19.948745872536
1992,18.90520753852
1993,19.47103456207
1994,19.320042904916
1995,20.236846960269
1996,20.8999749493
1997,21.628580906159
1998,21.470789816692
1999,20.791947569584
2000,20.499785049655
2001,22.308114726807
2002,23.070574078996
2003,22.898091913226
2004,23.470560867104
2005,23.667606616531
2006,23.803701064712
2007,23.702129998331
2008,24.323963726617
2009,22.071374258833
2010,22.185390870363
2011,21.118305345902
2012,20.512396451761
2013,20.371322438057
2014,18.752667379545
2015,19.005536341101
2016,19.730207116047
2017,20.091238281666
2018,19.942342991923
2019,19.48175094726
2020,18.118195702812
2021,18.677164950767
2022,18.275811537835
