Year,Emissions
1970,243.93690643435
1971,243.54453083017
1972,250.93984080522
1973,270.12064486334
1974,279.29342303586
1975,297.59181749034
1976,313.71362455345
1977,316.01505249304
1978,295.68444193514
1979,305.61054213342
1980,321.3784796962
1981,338.0259047384
1982,347.24523262637
1983,350.59508351303
1984,371.73640413734
1985,377.32099115733
1986,375.49447562939
1987,392.65837634648
1988,398.50356795789
1989,397.75105936547
1990,411.93765552735
1991,404.41396708
1992,398.51168138365
1993,402.57842369239
1994,409.28312987447
1995,428.36254306083
1996,442.72057260133
1997,462.44686861857
1998,469.84150316643
1999,452.43463108086
2000,457.23505570263
2001,468.14372232156
2002,482.7313403825
2003,509.99046336817
2004,543.37088718732
2005,555.47808293344
2006,559.6626603188
2007,581.33797178523
2008,611.26606520168
2009,579.55406753208
2010,588.12806861017
2011,569.19186138249
2012,589.30139548021
2013,601.88849149798
2014,615.45248582295
2015,590.08676744949
2016,590.39141812598
2017,602.77339568129
2018,605.78869947256
2019,611.13656374659
2020,551.46431198479
2021,548.47588788941
2022,534.53165154452
