Year,Emissions
1970,103.31979402865
1971,103.86980075924
1972,105.99656258595
1973,122.57133708743
1974,128.91424753714
1975,137.52830320311
1976,147.15590229877
1977,162.6146746515
1978,170.45880458691
1979,188.15863961866
1980,190.72850349281
1981,197.46389699386
1982,196.69776744538
1983,212.51252233411
1984,235.60046882302
1985,246.21126369423
1986,255.34216943021
1987,260.97052879726
1988,287.09975397207
1989,298.36452842206
1990,330.37385900734
1991,360.45963213756
1992,381.55686594958
1993,406.20746170138
1994,435.61789213036
1995,469.9371248123
1996,500.4414653752
1997,529.94447380262
1998,456.09310971291
1999,495.5044640326
2000,545.18226208052
2001,550.63051289584
2002,557.91373429921
2003,559.80202159847
2004,582.19222363069
2005,582.51977440534
2006,590.0140701721
2007,604.15905692189
2008,612.12362959538
2009,621.45276533446
2010,673.32386203699
2011,702.41030491498
2012,707.58739099723
2013,705.2427013373
2014,701.22935014788
2015,719.38181912753
2016,735.48430896377
2017,745.54727665735
2018,750.25991671539
2019,731.33444484805
2020,699.65263384637
2021,730.84454471351
2022,725.74363514494
