Year,Emissions
1970,192.85910881322
1971,190.6071580526
1972,204.04341299087
1973,218.20325188053
1974,232.0183877237
1975,238.49205945025
1976,257.39535974704
1977,250.27853032475
1978,251.04861976044
1979,263.92285331805
1980,277.21706519755
1981,282.20584161519
1982,278.08288145817
1983,280.40644583511
1984,271.42056393385
1985,264.40257085796
1986,269.72834730516
1987,268.21038168573
1988,276.25894261326
1989,295.66935259306
1990,300.26897024837
1991,307.41029030375
1992,315.66391353226
1993,300.70180563215
1994,313.51134348826
1995,329.35940844413
1996,322.82797487348
1997,346.02668634457
1998,355.34117535309
1999,379.75223268773
2000,398.45871246301
2001,396.80601952958
2002,414.64538026636
2003,424.78170283379
2004,441.1278729474
2005,455.61640959486
2006,448.03254494152
2007,465.1912678396
2008,430.01541997891
2009,391.37651809536
2010,378.00030837642
2011,377.72409124587
2012,370.36801194877
2013,342.01724759545
2014,339.90040294867
2015,351.37869583097
2016,342.54832082954
2017,357.47459189054
2018,350.21085653953
2019,331.6944891795
2020,291.81337170942
2021,305.8856410494
2022,328.59097242639
