Year,Emissions
1970,20.512091719587
1971,20.391324725751
1972,20.333915648915
1973,20.878518586276
1974,22.031528551104
1975,19.188323404772
1976,19.895216953735
1977,21.683520538707
1978,22.819351711515
1979,22.671504591729
1980,23.123239988282
1981,23.526627268696
1982,23.130602553499
1983,23.579485186179
1984,24.309078818472
1985,23.69046229415
1986,23.257938016159
1987,22.4019530008
1988,23.397486342804
1989,21.96747440007
1990,23.102797247503
1991,22.311977478703
1992,23.45209622589
1993,23.816816347401
1994,25.278073489643
1995,25.096646371699
1996,25.724935680455
1997,25.789075155633
1998,25.393739127411
1999,27.225386215557
2000,28.329449777246
2001,27.722951758861
2002,28.626420029758
2003,30.343573531664
2004,29.577746124397
2005,32.333942935264
2006,30.859539125328
2007,31.524775583535
2008,32.820682534847
2009,31.44318879221
2010,33.541414073683
2011,35.910029854659
2012,37.890297788407
2013,35.63693418957
2014,36.391802844102
2015,41.236334807552
2016,43.588042493712
2017,40.768876802497
2018,41.542283571958
2019,42.483441912298
2020,42.390289330964
2021,41.722031567079
2022,38.80448480145
