Year,Emissions
1970,38.913596247706
1971,39.715501044454
1972,40.566106119159
1973,44.037684524597
1974,44.77119709883
1975,45.953225456726
1976,46.364618398105
1977,46.352143311788
1978,47.398049582286
1979,50.252090366689
1980,53.389038886617
1981,55.69962402049
1982,60.194972422909
1983,59.931052931885
1984,60.87586222729
1985,62.347165090381
1986,59.130520650085
1987,57.871655517825
1988,59.692128787272
1989,60.172153293317
1990,62.644915727462
1991,63.794466442558
1992,69.004489831426
1993,72.236024861573
1994,79.001977135025
1995,79.768159133294
1996,82.553375029208
1997,85.10378888614
1998,88.851623844696
1999,92.802581709895
2000,97.226072828245
2001,102.61132193605
2002,106.25380968706
2003,109.783384842
2004,112.49370350415
2005,116.45117892409
2006,119.50917215865
2007,122.31613580547
2008,124.04511068558
2009,126.00809209345
2010,126.97364417631
2011,123.87081530657
2012,126.49340453921
2013,127.71628109582
2014,129.61480596076
2015,133.19808858131
2016,137.14622229076
2017,137.08979484994
2018,141.82429186885
2019,142.37323834416
2020,142.06331112865
2021,145.12717280369
2022,146.95537146552
