Year,Emissions
1970,54.468243289706
1971,54.371048170112
1972,58.810361923927
1973,63.177799772653
1974,62.523605325202
1975,66.641555890207
1976,75.994616857899
1977,80.521457690791
1978,88.660118297023
1979,92.045850357896
1980,98.383787998561
1981,91.680148834487
1982,90.439526234335
1983,94.900343199313
1984,97.816082039653
1985,94.950518726243
1986,107.59623430292
1987,112.39860681607
1988,127.9782688022
1989,137.43825070149
1990,140.57646859741
1991,150.72698756346
1992,158.86475001943
1993,169.67821197351
1994,179.20847125112
1995,189.13071290882
1996,198.47579232151
1997,212.11426726896
1998,224.08552996809
1999,232.14116114592
2000,248.9793111317
2001,258.40698271412
2002,313.56947472782
2003,325.08501122085
2004,338.32528139364
2005,332.13997347115
2006,321.90335779632
2007,331.23754294909
2008,314.3045923985
2009,296.9723702374
2010,302.93350373677
2011,308.48117557509
2012,301.71584873548
2013,307.21672160617
2014,313.1542699513
2015,310.30375157785
2016,314.03870159638
2017,319.32273075345
2018,317.94316422026
2019,307.79274357418
2020,305.50228427842
2021,320.51724404804
2022,307.68234431
