Year,Emissions
1970,13.292770143397
1971,13.642039864687
1972,14.213365884164
1973,14.817104498366
1974,15.441718892406
1975,16.329856586218
1976,16.604632196899
1977,16.936252713925
1978,17.365562103204
1979,17.785214818559
1980,19.14349003008
1981,19.269047565776
1982,19.101862064648
1983,19.584457872278
1984,19.814988212254
1985,20.575173240135
1986,21.295189956593
1987,21.845762473969
1988,22.086009144726
1989,22.192002922994
1990,22.325111996531
1991,22.91242933668
1992,18.841966539464
1993,14.456262143958
1994,11.909135265058
1995,11.338230840919
1996,10.190165370517
1997,10.347065360053
1998,10.467186939535
1999,10.316958086331
2000,10.779760514754
2001,10.287754134836
2002,11.137268773512
2003,10.472078112028
2004,12.607102901506
2005,12.080830158969
2006,12.766025706131
2007,14.253967992413
2008,13.04614943894
2009,12.289413562393
2010,12.170991051855
2011,12.140377245452
2012,13.1177369806
2013,13.33822261998
2014,14.807377226538
2015,15.590211155832
2016,16.62421413515
2017,18.351318875911
2018,19.742052410002
2019,20.697030775984
2020,21.19105851949
2021,22.430520845463
2022,22.83362409559
