Year,Emissions
1970,120.3859831442
1971,121.17962633789
1972,120.31235484667
1973,130.69152512399
1974,127.26105022994
1975,136.70233668206
1976,139.91099132404
1977,147.47137478503
1978,153.28544398087
1979,152.36214458878
1980,156.47785314866
1981,157.30602421819
1982,156.01558315336
1983,162.73420444784
1984,168.91080018502
1985,176.13489495699
1986,174.46394414971
1987,182.83787144932
1988,197.47223398226
1989,210.89031466413
1990,221.89847857535
1991,237.44359319484
1992,248.01395790311
1993,261.89619086953
1994,277.15334309003
1995,293.31302642051
1996,313.4423693608
1997,320.24975625242
1998,294.90105804358
1999,305.77309366637
2000,305.63297413064
2001,318.01668323595
2002,330.35517418673
2003,345.98660252526
2004,367.91871317201
2005,381.1829692064
2006,386.70560755964
2007,401.54102583591
2008,404.97851906147
2009,403.29453720018
2010,426.50432031231
2011,425.26642422564
2012,446.18826807061
2013,457.63928987321
2014,447.44416957952
2015,447.44592872607
2016,449.92406882573
2017,449.45947760012
2018,446.29206259451
2019,453.56547461946
2020,449.39983298023
2021,455.67140019065
2022,463.8746883168
