Year,Emissions
1970,0.73173184378725
1971,0.75012667163397
1972,0.73802082447601
1973,0.72556323856134
1974,0.75844299959113
1975,0.77740715248088
1976,0.79194767411246
1977,0.79975047700643
1978,0.81502820524236
1979,0.80511475665647
1980,0.83690287145756
1981,0.8724661966448
1982,0.87432955496628
1983,0.8269751854735
1984,0.80766219639426
1985,0.84184457671631
1986,0.86729160638448
1987,0.97190646549763
1988,0.9907790226239
1989,0.97707075084272
1990,0.97287015385143
1991,1.0387855696186
1992,1.0144126346389
1993,1.0195110726072
1994,1.0665891657154
1995,1.0773950588437
1996,1.092066966117
1997,1.0880426647685
1998,1.1188876740704
1999,1.1453467319923
2000,1.2716846730673
2001,1.2770349981507
2002,1.2983745695193
2003,1.4266270661318
2004,1.4949344664794
2005,1.5299652054472
2006,1.5972117348999
2007,1.637125941749
2008,1.7362413562426
2009,1.9530067028035
2010,2.0270257422865
2011,1.832215206799
2012,1.8615587059709
2013,1.9459221084141
2014,2.0677880904059
2015,2.1951103274802
2016,2.0818586408777
2017,2.1204510809063
2018,2.1008471856958
2019,2.2086473370545
2020,2.2415791679405
2021,2.3010784991863
2022,2.3434554066132
