Year,Emissions
1970,0.71527929020573
1971,0.7363050664442
1972,0.79247604712745
1973,0.8044308332089
1974,0.79390739326065
1975,0.74597729467495
1976,0.67792377070175
1977,0.60722411096553
1978,0.55286172029217
1979,0.47298879252476
1980,0.4413943268252
1981,0.44811161321919
1982,0.47255687082235
1983,0.49677691355434
1984,0.53149055991281
1985,0.54095693604434
1986,0.54926073859563
1987,0.5540947591131
1988,0.53064122158243
1989,0.55713038765961
1990,0.59507572210868
1991,0.689479737547
1992,0.67065246185461
1993,0.69438351091119
1994,0.76990217923938
1995,0.79797389433928
1996,0.8255908525645
1997,0.79555756108005
1998,0.89069390528256
1999,0.88364999605454
2000,1.0232382224801
2001,1.1375705445018
2002,1.1208756291842
2003,1.3285524390204
2004,1.7681771334146
2005,2.040967156807
2006,3.7456073488589
2007,4.0752534070845
2008,4.5643116325235
2009,4.0663525981262
2010,3.9295724000486
2011,4.2460724361141
2012,4.6212490901915
2013,4.524141862461
2014,3.639836841486
2015,3.6724394215515
2016,3.2624456173861
2017,3.1354771093819
2018,3.1547891361805
2019,3.0064067618517
2020,2.582996619455
2021,2.5683590288149
2022,2.4756829924043
