Year,Emissions
1970,9.4366799689884
1971,9.4744993681434
1972,9.7689005944768
1973,10.171503209855
1974,10.051281196166
1975,9.5853165971041
1976,10.819960681904
1977,11.766479221352
1978,12.482019703913
1979,12.125985190529
1980,13.041371619297
1981,13.720403220553
1982,15.303625928561
1983,15.882314481271
1984,16.526260593575
1985,16.924153134476
1986,16.716140605054
1987,17.173102093666
1988,18.266177094803
1989,18.214161756847
1990,18.193597073386
1991,18.439584588071
1992,18.701548876814
1993,18.526028239366
1994,20.465387314857
1995,19.813549986692
1996,21.184628620576
1997,21.22211590631
1998,25.655091705395
1999,26.749179515115
2000,28.468333090271
2001,31.661125054671
2002,34.633325650338
2003,41.257620619613
2004,44.728250475203
2005,51.840388185447
2006,58.221903970008
2007,59.733694624419
2008,58.476786516492
2009,57.861468837424
2010,62.001602667571
2011,61.478852941777
2012,58.125903008496
2013,57.463057895045
2014,57.260467563709
2015,55.974461936935
2016,50.252651334542
2017,50.988592753188
2018,51.230390666968
2019,52.016523673382
2020,47.255235869182
2021,45.326209801978
2022,45.910924603034
