Year,Emissions
1970,13.213239231551
1971,13.315235410004
1972,13.694340460875
1973,13.973354982495
1974,14.362027314763
1975,14.707649419473
1976,15.349187923257
1977,15.349759254355
1978,16.029381350913
1979,16.31870167861
1980,15.815280167206
1981,15.841601715594
1982,16.076876751018
1983,16.28998050701
1984,16.727158066472
1985,17.117481660483
1986,17.683018368437
1987,15.927806160054
1988,16.688089255764
1989,17.240421240032
1990,18.452433961831
1991,19.154550953617
1992,19.682141696886
1993,20.226803186111
1994,20.087359886351
1995,20.738727758664
1996,21.247294182894
1997,21.836866910794
1998,22.624235324229
1999,23.230446342676
2000,23.803359969225
2001,24.49404305272
2002,25.476572584928
2003,26.46669140878
2004,27.211354871908
2005,28.496054847357
2006,29.575015167198
2007,30.970951718383
2008,38.565195052143
2009,39.850268070314
2010,40.900961622222
2011,42.299137119928
2012,43.216449308067
2013,44.481516856906
2014,46.205500660871
2015,48.273983133734
2016,45.696463090986
2017,46.922471220726
2018,49.420961698025
2019,52.267834174762
2020,53.924625034799
2021,55.544514577872
2022,56.490378284146
