Year,Emissions
1970,100.6576816645
1971,100.12604114902
1972,99.926103000257
1973,110.41339974682
1974,108.75112729996
1975,103.6521681321
1976,108.50649497485
1977,112.45371066513
1978,118.36818097639
1979,131.36061850871
1980,140.10959289826
1981,141.58649332075
1982,142.67422111698
1983,141.90682104624
1984,144.91749469274
1985,146.13402408801
1986,149.09772489581
1987,150.30823395007
1988,153.49950765712
1989,161.14246733326
1990,166.75470786102
1991,167.21939035582
1992,169.78551915961
1993,176.97945592452
1994,179.25318831513
1995,193.99048772199
1996,204.83011336502
1997,214.97417574335
1998,220.80739938267
1999,215.99834615178
2000,226.30768598716
2001,231.30659578818
2002,234.8038640606
2003,230.08444339604
2004,239.78007605164
2005,247.49095172858
2006,246.53775675131
2007,246.21300952803
2008,256.72786755208
2009,255.40207189594
2010,260.91330011085
2011,257.93501060897
2012,286.13063094293
2013,284.72013244007
2014,282.44989264589
2015,264.02458293025
2016,248.5932689757
2017,233.86484339718
2018,217.11449686399
2019,189.55243183443
2020,148.67503767095
2021,159.97698662884
2022,169.51713464652
