Year,Emissions
1970,5.9592671781745
1971,6.270612411537
1972,6.5425618198952
1973,6.8602594013805
1974,7.0984830935137
1975,7.1339393264726
1976,7.4699020998732
1977,7.6158051154025
1978,7.9782958324382
1979,8.2863085536554
1980,9.2788663227296
1981,9.4360407156094
1982,10.053903455263
1983,10.657808393164
1984,10.914056164447
1985,11.416002202438
1986,12.062158052607
1987,12.983177864695
1988,16.473475334016
1989,17.273589835618
1990,18.241624761894
1991,20.133398033944
1992,20.846599776236
1993,20.887745007379
1994,23.258474606805
1995,23.90698830543
1996,24.847369529052
1997,26.539762374714
1998,27.550513624021
1999,30.443578325005
2000,33.238848748772
2001,34.268010465086
2002,34.659007216218
2003,39.936365235657
2004,41.03187683726
2005,45.378664457731
2006,50.044100755727
2007,52.431856864615
2008,51.887079605846
2009,55.464060318832
2010,56.696000498978
2011,52.244675463294
2012,48.98822178562
2013,58.257099250008
2014,56.945022750717
2015,35.067268081148
2016,30.197868514157
2017,31.807064013573
2018,34.853294817405
2019,36.611257505686
2020,35.648246734255
2021,36.98676870717
2022,38.006043126433
