Year,Emissions
1970,22.245785707406
1971,22.859421319426
1972,22.516026532294
1973,24.140295139887
1974,24.239678579932
1975,23.566684069688
1976,24.709480362986
1977,23.932646339533
1978,22.927316425625
1979,22.322808284143
1980,22.614164556323
1981,22.550957426326
1982,22.904616432654
1983,22.828128132059
1984,23.443012687566
1985,25.603032157718
1986,27.926909915683
1987,31.888391170443
1988,31.581923003666
1989,32.006206228907
1990,35.256485086066
1991,35.267069205328
1992,36.230300017642
1993,31.774825743229
1994,30.92214206625
1995,30.83402459024
1996,32.285255873235
1997,31.337098232122
1998,32.248615509515
1999,35.531027051533
2000,33.730523667469
2001,33.921144205413
2002,31.32233670326
2003,28.093476213841
2004,27.276181000604
2005,28.593073324647
2006,27.539280069375
2007,27.569906266077
2008,24.991438482956
2009,25.706291140876
2010,28.910820072672
2011,31.450565079256
2012,32.303798993554
2013,32.927063738125
2014,30.691499304834
2015,31.610374923595
2016,29.676862709215
2017,29.174903690621
2018,31.273374542897
2019,30.207339246397
2020,28.341566540534
2021,29.525356699679
2022,30.190140516222
