Content,Platform,Title,Rating
"3 Body Problem is an adaptation with all the ingredients for success, but it doesn’t match the original material’s efforts doesn’t to create something unique and compelling.",Rotten Tomatoes,,
"This is a big, brilliant, and beautiful sci-fi epic that was worth the wait.",Rotten Tomatoes,,
3 Body Problem won’t be for everyone – but it’s an elegant solution. … This is an absorbing scientific mystery that rewards alert viewers.,Rotten Tomatoes,,
"Despite some flashes of sci-fi prowess, it never fully takes off due to a script so uneven that ends up alienating our interest. [Full Review in Spanish]",Rotten Tomatoes,,
"This series builds a world below the surface where who where are and our place in time, space and the galaxy are all up for discussion.",Rotten Tomatoes,,
Liu Cixin’s hard science fiction epic is much more than alien threats with more emphasis on the cultural revolutions and human problems,Rotten Tomatoes,,
"The result is a confused mishmash: The rational, scientific side of the story isn’t coldly detailed enough to captivate, and its emotional side feels too superficial or muddled to cut deep.",Rotten Tomatoes,,
Netflix has taken an introspective story about the depression and nihilism inherent in collective scientific possibility and turned it into a romantic narrative about the individualist triumph of those people smart enough to drive scientific progress.,Rotten Tomatoes,,
"Perhaps everything happens too quickly, maybe some characters need more room and the viewer needs a break. But the plot is surprising, it intensifies and delivers a twist to the current debate about where technology is taking us. [Full review in Spanish]",Rotten Tomatoes,,
It asks a series of interesting questions and presents a string of intriguing SciFi ideas in the process. It results in an engaging and mysterious series that will keep viewers invested from start to finish.,Rotten Tomatoes,,
"Fascinating ideas and concepts are presented in an intriguing, accesible and entertaining way, while the human characters (scientist core group) leave a lot to be desired. [Full review in Spanish]",Rotten Tomatoes,,
3 Body Problem remains grounded in human drama.,Rotten Tomatoes,,
Visually spectacular and a good cast — Wong in particular.,Rotten Tomatoes,,
"Based on Cixin Liu’s megapopular sci-fi novels, 3 Body Problem is an engrossing spectacle about alien invasion. It’s a welcome 21st-century twist on the old War of the Worlds premise.",Rotten Tomatoes,,
"Offering plenty of thought-provoking and mind-bending conceits, 3 Body is not exactly casual viewing, but it’s a show that rewards close attention.",Rotten Tomatoes,,
I really enjoyed the series in spite of most of the leads either being annoying or just not clicking with me as the actual sci-fi and general concepts presented were so good.,Rotten Tomatoes,,
"The show confidently takes its audience into uncharted territory, peeling back mystery after mystery.",Rotten Tomatoes,,
"For those who love their sci-fi with a healthy dose of mind-bending concepts, high stakes, and a slow burn that explodes into pure sci-fi brilliance.",Rotten Tomatoes,,
"Episode 5 is easily one of the best TV episodes of the year. 3 Body Problem has a wonderful cast and stunning visuals, but the final 3 episodes feel a little anti-climatic in this slow-burn series.",Rotten Tomatoes,,
"Ambitious, towering and crammed with big ideas about intellectual curiosity, exploration and our place in the universe while still managing to tell intimate stories about human relationships.",Rotten Tomatoes,,
"3 Body Problem presents an interesting theoretical scenario, with some compelling characters and a few dynamics that are worth exploring. But despite the revolutionary source material, the show isn’t all that groundbreaking, at least not yet.",Rotten Tomatoes,,
"As big idea sci-fi goes, this is deeply impressive in both spectacle and substance.",Rotten Tomatoes,,
"A misfire in every way, 3 Body Problem has some talented actors delivering some memorable moments, but none of it adds up to an experience that is satisfying, fulfilling, or even all that enjoyable.",Rotten Tomatoes,,
Most plots these days seem to be driven by characters’ stupid mistakes and bad decisions. It’s refreshing to witness intelligent characters grappling with a predicament that is not of their own making.,Rotten Tomatoes,,
"3 Body Problem’s most prominent deviation from the source material adds inclusion, which pays off creatively and commercially.",Rotten Tomatoes,,
"It has a different approach than most Netflix originals, but there's also the certainty that it doesn't quite take off. [Full review in Spanish]",Rotten Tomatoes,,
"Is it terrible? No, absolutely not. It’s enjoyable, it’s high production value sci-fi, it’s going places, it’s high stakes, it’s large scope and scale, it asks interesting questions. But is it great? Sadly, no.",Rotten Tomatoes,,
"I get a kick out of realizing which portions of the trilogy the show’s creators have chopped up and rearranged, delighted to be shown parallels among characters... and still find Benioff and Weiss to be great at writing memorable, economical dialogue.",Rotten Tomatoes,,
"A mind-bending sci-fi epic spanning multiple decades, while also reaching centuries into the past and future, it can scarcely be faulted for lack of ambition, but sometimes there's just too much going on to digest properly.",Rotten Tomatoes,,
"... The series asserts itself as an immersive experience, a broad map in which time and space converge in search of answers to a riddle that isn't easy to solve. [Full review in Spanish]",Rotten Tomatoes,,
"The series juggles the perspectives and quandaries of its flawed and confused scientists with sympathy and nuance. The dialogue is intelligent, witty and believable.",Rotten Tomatoes,,
"Based on the way this season all but runs out of momentum at the finale, its ticking countdown may come to an end sooner than later.",Rotten Tomatoes,,
"3 Body Problem suffers from a concept-heavy, near-indigestible opening episode (you may need a couple of tea breaks to get through it). After that, it can be mind-blowing...",Rotten Tomatoes,,
"3 Body Problem’s first season works as a solid introduction to this world, but by the finale, it becomes clear that these episodes are really just laying the groundwork for an even bigger, more deeply complicated narrative.",Rotten Tomatoes,,
"Taking the Chinese-centric story, moving it to England, and creating a tapestry of characters based on several of the novel’s key characters, 3 Body Problem is a valiant attempt at translating a novel that has been called unadaptable to the small screen.",Rotten Tomatoes,,
"...the strength and weakness is that these sci-fi concepts come from Chinese culture; that makes them different to the ones we’re bored rigid with, but original or not, they still have to be sold to us… intellectual engagement is slow out of the gate...",Rotten Tomatoes,,
"Netflix's 3 Body Problem plays things too safe, edgy and drab despite the book's wild vision.",Rotten Tomatoes,,
"The show should be a celebration, a statement, a home run swing. Instead its style is anonymous, the work of a corporate author rather than an artistic intelligence.",Rotten Tomatoes,,
3 Body Problem weaves philosophical quandaries into a propulsive science fiction tale with such audacity that I don’t mind that it doesn't always pull it off. At least it shoots for the stars.,Rotten Tomatoes,,
"As the characters in 3 Body Problem lurch toward answers, we all get to bask in an ambitious narrative fueling an ultimately impressive tale. Just remember to be patient as the series sets the stage early on.",Rotten Tomatoes,,
This is predominantly out-of-this-world viewing with a down-to-earth quality thanks to the characters at the core of the story.,Rotten Tomatoes,,
"Brilliantly produced, pacy and featuring excellent performances, it provides food for the brain as well as a feast for the eyes.",Rotten Tomatoes,,
