Year,Emissions
1970,17.336192119054
1971,17.292793259569
1972,15.342250729905
1973,15.966060195834
1974,17.278442837745
1975,17.984253307833
1976,17.989106846085
1977,18.153413876924
1978,17.700459320288
1979,17.494762566175
1980,17.521779913052
1981,17.614388349689
1982,17.557566142915
1983,17.492822657539
1984,16.435935592879
1985,16.369496938235
1986,14.64739149222
1987,14.235156747093
1988,14.39958715991
1989,13.670698457372
1990,13.775604486951
1991,13.854653509001
1992,12.903649138827
1993,13.071130375652
1994,13.228592997992
1995,13.624676502442
1996,14.969407828975
1997,16.06067866158
1998,16.910713603333
1999,17.93944796308
2000,16.045419970692
2001,14.387894627423
2002,17.044710352183
2003,17.73231773905
2004,17.789451446535
2005,18.191324358403
2006,18.46103625838
2007,19.617554516404
2008,23.089808253357
2009,26.313461233388
2010,30.190939312858
2011,34.470277410811
2012,32.464602002715
2013,30.899954138584
2014,31.214446065402
2015,31.20849536015
2016,30.567230375324
2017,31.773006862607
2018,31.439839765037
2019,30.322850946054
2020,28.150674188763
2021,28.953696705176
2022,29.117879023303
