Year,Emissions
1970,315.01431299049
1971,321.27375329588
1972,333.36705274569
1973,340.5712706005
1974,355.37952689134
1975,364.74519202421
1976,367.87191652596
1977,374.55409509716
1978,365.55372858181
1979,369.74710544951
1980,376.99765896622
1981,379.89325515641
1982,387.22737901954
1983,373.98834666788
1984,385.7228056255
1985,401.60276587043
1986,406.30805803818
1987,417.01412287834
1988,425.5885041113
1989,448.81586609802
1990,457.21662026614
1991,460.10539080705
1992,461.72007813513
1993,464.74590200636
1994,470.1945405655
1995,477.8887537673
1996,491.43811151204
1997,504.38206816474
1998,526.49481573577
1999,533.71848831204
2000,542.6008352727
2001,552.46178061237
2002,561.05458585726
2003,552.00858321829
2004,572.4742254187
2005,576.58978848561
2006,581.02043007095
2007,589.53698471652
2008,587.66025155292
2009,596.65812100517
2010,601.86573193259
2011,605.79472409027
2012,608.28821661349
2013,597.07365858792
2014,585.44203862924
2015,593.56149244483
2016,594.02435606309
2017,601.06516667284
2018,597.77409677396
2019,596.0316221689
2020,572.8336503097
2021,561.65468547299
2022,571.38211263582
