Year,Emissions
1970,72.48602517976
1971,75.347232448342
1972,77.66532011565
1973,81.405501957204
1974,79.094364467211
1975,76.660398009386
1976,82.061788553018
1977,79.537817765617
1978,81.658707766275
1979,84.433473752709
1980,82.561756989321
1981,79.07560474706
1982,76.896294320707
1983,76.762890622987
1984,79.307574713652
1985,80.640540921844
1986,79.072653504198
1987,79.247705911201
1988,78.034338939554
1989,77.335917214119
1990,81.508033101315
1991,85.666976698512
1992,80.122010252577
1993,80.094739436338
1994,80.454193692844
1995,83.302392065405
1996,87.255410666917
1997,86.471266610251
1998,86.661795470708
1999,84.618391258621
2000,84.755566608405
2001,89.655130714472
2002,91.168286135632
2003,96.94843449721
2004,96.664517381199
2005,96.877815365323
2006,94.378307393505
2007,91.26102790059
2008,90.674016774982
2009,83.635018240767
2010,89.80709032525
2011,88.007730681237
2012,84.742703019342
2013,85.419588559279
2014,81.745926576442
2015,82.724125971325
2016,83.419820922226
2017,85.87440513688
2018,82.847456763833
2019,84.39550825243
2020,78.30591695941
2021,81.218594275906
2022,76.743304468294
