Year,Emissions
1970,46.276329102682
1971,48.221440411902
1972,50.686982268426
1973,53.476281760427
1974,56.101163477135
1975,59.749198536316
1976,61.530029778584
1977,63.054545044956
1978,65.595872462506
1979,67.34507738349
1980,69.758274664267
1981,69.050982779077
1982,68.681347537109
1983,68.498821213832
1984,68.755805675255
1985,68.787456658772
1986,69.841853363743
1987,72.093342354641
1988,72.569374349124
1989,73.141639175889
1990,69.807535164448
1991,67.446667266775
1992,56.683686446088
1993,50.30482719212
1994,45.298048294678
1995,44.172970894937
1996,38.918851901805
1997,38.415599007096
1998,38.8336807213
1999,39.602858615639
2000,41.438788777714
2001,40.519104157036
2002,40.277906602756
2003,43.334386743964
2004,43.331246437491
2005,46.458602663409
2006,48.070831984781
2007,50.045655670755
2008,55.924428308369
2009,49.375533212697
2010,48.626305299905
2011,51.428073980024
2012,54.968334678651
2013,56.401774405504
2014,58.443916958092
2015,58.032029552335
2016,58.130117449251
2017,57.785627457815
2018,59.190630005337
2019,64.313845396317
2020,63.531254940567
2021,68.0409395793
2022,68.876896673873
