Year,Emissions
1970,1.5860088913353
1971,1.6219514640614
1972,1.8890088100629
1973,1.8854330529551
1974,1.6683243950854
1975,1.711046239236
1976,1.5345091851631
1977,1.6903599387109
1978,1.714642187649
1979,1.7646841228123
1980,1.7444454945552
1981,1.5646327411765
1982,1.3294524307462
1983,1.0326720038202
1984,1.0246986905796
1985,0.93725102158174
1986,0.9776370707769
1987,1.121087315503
1988,1.1469025045615
1989,1.3104417863415
1990,1.2899224215695
1991,1.2008795215209
1992,1.0755059659891
1993,1.107952958682
1994,1.1794054596059
1995,1.3376978648316
1996,1.4735108661708
1997,1.4741657187143
1998,1.662361870803
1999,1.4720066082738
2000,1.230361360025
2001,1.249626406257
2002,1.3274125613695
2003,1.0771725580161
2004,1.1579674666659
2005,1.1450663676297
2006,1.3511171664226
2007,1.5854587731506
2008,1.6422969063278
2009,1.4213853700287
2010,1.5764372843143
2011,1.1921227318673
2012,1.3875969218546
2013,1.5217804446377
2014,1.5215142010499
2015,1.4614103837603
2016,1.5744024506292
2017,1.6751130306347
2018,1.9500584792248
2019,2.1271097790423
2020,1.8707241274335
2021,1.823093415894
2022,1.8815524971095
