Year,Emissions
1970,18.213071078387
1971,18.375799014228
1972,19.332940334997
1973,20.738612309768
1974,22.349717168757
1975,20.186202568752
1976,21.155928898812
1977,24.095931355956
1978,23.946239211526
1979,24.829439860906
1980,24.726505446419
1981,24.926401643465
1982,25.24791076997
1983,25.032039452422
1984,25.148154055734
1985,26.388536514218
1986,28.72246114528
1987,28.051042630474
1988,29.116282627256
1989,29.415058505177
1990,30.224089860387
1991,29.666252063094
1992,34.135132674167
1993,36.376686727948
1994,36.384823696424
1995,36.276729370451
1996,37.665250961188
1997,35.241255260689
1998,36.866796980226
1999,39.011320836664
2000,39.599836394481
2001,40.742449439157
2002,40.333021100009
2003,40.034929613029
2004,39.938516775546
2005,43.732992534425
2006,45.549814645917
2007,46.797926652144
2008,50.55266815165
2009,51.170463888947
2010,51.69874869045
2011,52.064446553695
2012,55.895362558913
2013,60.722604089969
2014,62.759774875714
2015,62.936725224745
2016,63.130461926409
2017,62.996451496272
2018,63.305279501053
2019,67.43286649181
2020,67.634670379314
2021,69.434104613417
2022,69.976211881851
