Year,Emissions
1970,0.73019083215649
1971,0.7418207646635
1972,0.75685266176274
1973,0.77054440533867
1974,0.78512314625475
1975,0.79607218082141
1976,0.81421743083458
1977,0.83147579969162
1978,0.85610051952353
1979,0.87434336422831
1980,0.89282589526918
1981,0.92954230693606
1982,0.95936439903414
1983,0.99123729291571
1984,1.0101544645515
1985,1.0556990232214
1986,1.0830535470487
1987,1.1605281242513
1988,1.0833560786267
1989,1.0932567053848
1990,1.160768940074
1991,1.1856515208166
1992,1.1388026906861
1993,1.1502749635635
1994,1.197084903453
1995,1.4614949065785
1996,1.52976217267
1997,1.5641439260624
1998,1.597023469839
1999,1.7042309415867
2000,1.6187328406414
2001,1.6170545849308
2002,1.6510112029553
2003,1.6735161023313
2004,1.6853026664192
2005,1.8525237652057
2006,1.8620572711406
2007,1.8956197892511
2008,1.8317854001676
2009,2.1077979886442
2010,2.2160661676176
2011,2.4284715940885
2012,2.3762705743791
2013,2.487613771366
2014,2.4921364115421
2015,2.6689544574534
2016,2.8180909586871
2017,2.9792783555298
2018,3.2076621283649
2019,3.3962403742752
2020,3.4094458111067
2021,3.0571193864987
2022,3.0709052581257
