Year,Emissions
1970,27.433205244674
1971,28.46460810922
1972,33.43989840915
1973,35.191714615707
1974,35.026556663177
1975,33.854104172116
1976,35.230897826308
1977,33.009171719283
1978,34.126110378662
1979,32.145681173131
1980,31.536961893002
1981,29.444775201528
1982,30.7624857913
1983,31.652640591934
1984,30.118812136644
1985,30.368040780996
1986,28.039715159004
1987,29.148259499126
1988,29.941660940885
1989,31.61038109562
1990,31.278501501706
1991,33.075893342769
1992,34.455671189951
1993,36.639120723511
1994,38.774600042437
1995,31.167414670362
1996,30.986481977754
1997,34.463277941493
1998,31.222856956103
1999,31.233483273207
2000,31.211379899542
2001,30.160602764767
2002,31.733278907652
2003,33.000940391742
2004,35.237882596737
2005,36.46790487043
2006,37.772596478571
2007,40.079178906446
2008,41.407675535749
2009,42.270381541456
2010,46.258701112288
2011,47.418108410968
2012,49.860781881686
2013,52.369338177524
2014,53.647183392846
2015,54.591562803821
2016,56.138136326082
2017,56.609386591754
2018,56.896894830699
2019,57.143879630074
2020,53.948867803313
2021,58.29220664068
2022,58.462969636125
