Year,Emissions
1970,16.430508430389
1971,16.7796980411
1972,16.386171604072
1973,17.620904945826
1974,19.066148193123
1975,19.62062720829
1976,19.566539118713
1977,20.162634060367
1978,20.959127357483
1979,21.676115002103
1980,21.040723748281
1981,23.117975801213
1982,24.202248661098
1983,25.654880673617
1984,26.688082658415
1985,27.762903709576
1986,28.618456503476
1987,27.03818603103
1988,27.227393379446
1989,27.548400126849
1990,32.789926679213
1991,29.727905931316
1992,22.82799548396
1993,19.533861573495
1994,6.5353695542128
1995,6.5598987443559
1996,7.269294086194
1997,12.581588799057
1998,15.752372675573
1999,16.19060098339
2000,19.923407364786
2001,19.461809498682
2002,20.564588597995
2003,20.987182244269
2004,22.499915584656
2005,23.247975221753
2006,25.424860682384
2007,26.682039311395
2008,28.148060202236
2009,27.9299478684
2010,28.460718026889
2011,31.748348781472
2012,29.655306708041
2013,29.47388711551
2014,28.007858363221
2015,27.962468698619
2016,30.985127608457
2017,31.574396433177
2018,31.99978521067
2019,30.323790697447
2020,30.232161645004
2021,29.294108690801
2022,29.324006482666
