Year,Emissions
1970,3.2076642666529
1971,3.0487331926989
1972,3.7872236407067
1973,5.1386981900662
1974,5.79274220736
1975,6.2731233358849
1976,7.6551466353681
1977,8.0710244315057
1978,8.0373793522802
1979,7.9590614803756
1980,9.3115036827344
1981,7.7719199387237
1982,8.0151701767792
1983,8.3416245379755
1984,7.8574357548193
1985,7.7589411354974
1986,7.6425164723428
1987,7.7473404014079
1988,7.8110478496329
1989,7.8286067404617
1990,8.1825886697677
1991,8.5539740997945
1992,8.6127434037456
1993,9.0344765975771
1994,9.4731925818121
1995,10.049972186585
1996,10.302100890061
1997,10.968336375326
1998,10.174556675456
1999,10.516643590852
2000,11.269489098714
2001,11.75456291728
2002,11.180910151525
2003,12.491972290991
2004,11.679614593058
2005,11.465267430541
2006,15.013922026792
2007,14.361842723783
2008,16.636659688773
2009,15.230199397049
2010,14.101718617753
2011,14.627451163223
2012,14.427177103381
2013,13.924890452135
2014,13.518249350422
2015,12.693051841178
2016,12.965796844301
2017,13.653884099605
2018,14.253959859689
2019,13.430403318839
2020,15.475476863299
2021,15.344846131397
2022,14.829405385121
