Year,Emissions
1970,464.1590476789
1971,473.78494876375
1972,497.31694847668
1973,524.75177958032
1974,533.7642330352
1975,518.82528874321
1976,530.49840902227
1977,551.58619821489
1978,558.47609423788
1979,573.03786934816
1980,578.44467678653
1981,558.49928285884
1982,539.47048977292
1983,540.93372729595
1984,562.12847179671
1985,557.59758961922
1986,544.09858762773
1987,560.15632572163
1988,594.26508349068
1989,616.41845260792
1990,582.16535427377
1991,577.07792539593
1992,593.15631880575
1993,597.06508324964
1994,622.58049502825
1995,637.49166671479
1996,654.11332479399
1997,666.63304089359
1998,675.03563280389
1999,686.00170662506
2000,710.25494400706
2001,700.28919458878
2002,723.20872864064
2003,741.69311773504
2004,737.78509769202
2005,745.21211076293
2006,742.80479117424
2007,776.97176338924
2008,750.02670383666
2009,708.89177550354
2010,726.13488440488
2011,742.21452794493
2012,744.55770549139
2013,755.62553399448
2014,768.75871626837
2015,764.53496604645
2016,758.57566557794
2017,772.89688720301
2018,787.65130378791
2019,775.37644060675
2020,711.46863883123
2021,733.08172381002
2022,756.81011113813
