Year,Emissions
1970,9.097306220287
1971,9.2507335591729
1972,9.8293715791524
1973,8.9553634903456
1974,7.4714900156882
1975,7.7446205494951
1976,8.0575663267991
1977,8.6032260924909
1978,9.0090491865353
1979,9.3027239995468
1980,9.4804096764323
1981,9.6282223082805
1982,10.192076204518
1983,10.167167730031
1984,8.4260865142271
1985,8.5231825409412
1986,9.1290253708467
1987,9.6146117156045
1988,9.9612770573319
1989,10.434857788799
1990,11.136429083681
1991,18.049073612233
1992,18.809264234019
1993,19.367970117254
1994,20.39876324665
1995,21.380177796861
1996,22.187577874327
1997,22.997103042321
1998,24.26946522291
1999,25.531257941801
2000,26.659828257527
2001,28.047923836577
2002,29.587105014549
2003,31.655896953939
2004,34.617702996237
2005,36.548116175569
2006,38.243560285224
2007,40.196546801112
2008,42.010961953113
2009,44.135097948536
2010,46.760839716965
2011,49.123890502048
2012,52.328574781359
2013,55.227352860054
2014,58.099119074515
2015,63.000451246666
2016,66.407414891568
2017,70.226443699146
2018,74.251463150581
2019,78.217177999371
2020,82.08506090274
2021,86.016959821887
2022,89.837316865793
