Year,Emissions
1970,51.533061456883
1971,53.809475548896
1972,56.271602276422
1973,55.471720449158
1974,53.79649686902
1975,50.863147202148
1976,51.136835624573
1977,49.297888179501
1978,49.803220660918
1979,52.427936961563
1980,55.022202130401
1981,54.662162115991
1982,51.146135644274
1983,51.112823580246
1984,52.275136974705
1985,50.233947760258
1986,50.064212903159
1987,50.63746664125
1988,55.079582279805
1989,60.667099853124
1990,60.743340329019
1991,59.334941064404
1992,61.741797798373
1993,64.260735532945
1994,68.071397833654
1995,73.304991043303
1996,80.595571365297
1997,87.427176837252
1998,87.995203137699
1999,91.612361456395
2000,88.194201245806
2001,86.623930965238
2002,87.062558550105
2003,89.166978499446
2004,94.79523894894
2005,95.547491829854
2006,96.891134973968
2007,105.248389171
2008,110.32698758564
2009,105.90619036679
2010,107.44596696307
2011,117.83974830564
2012,121.67249362425
2013,123.43239678182
2014,115.90808129935
2015,121.12447454891
2016,126.40802371837
2017,128.44728289404
2018,130.46355752063
2019,136.53126462862
2020,128.96492094265
2021,140.65597060583
2022,137.01124815352
