Year,Emissions
1970,87.113988142295
1971,90.028302583262
1972,92.202854043161
1973,94.359542182124
1974,97.472467564573
1975,101.79377987589
1976,105.88272992349
1977,108.3367980445
1978,112.58211274005
1979,113.23658328346
1980,114.22924959623
1981,116.02863157775
1982,118.53846244766
1983,119.63971321804
1984,119.50952142406
1985,121.72998309889
1986,124.28443095225
1987,129.02749948069
1988,131.31850121008
1989,135.58666864846
1990,139.10364969414
1991,140.36213337839
1992,144.36785759337
1993,148.81675411116
1994,150.1722941154
1995,155.17701421398
1996,155.25675921804
1997,162.87803012992
1998,165.69417978308
1999,153.42262707699
2000,159.19161943884
2001,160.43142828238
2002,159.29734723157
2003,160.08983110723
2004,160.9308829243
2005,164.77988246352
2006,165.35532379809
2007,169.66096809985
2008,171.20687757586
2009,176.33086957814
2010,181.30751870284
2011,184.52838039062
2012,182.35544141007
2013,190.6444820552
2014,191.67950488981
2015,193.01035171356
2016,197.13452212794
2017,193.58148574805
2018,201.85619678652
2019,205.83050718283
2020,206.08601706246
2021,209.85313977775
2022,215.5373798741
