Year,Emissions
1970,46.962800591151
1971,45.447526819836
1972,44.55376722938
1973,47.029898244142
1974,48.948872159537
1975,49.638674165917
1976,51.39649626126
1977,53.794574097022
1978,56.518839364803
1979,57.543129460923
1980,57.881580680227
1981,58.439625375433
1982,57.766924364638
1983,60.021060346485
1984,62.910705205806
1985,60.30645589179
1986,61.087673965516
1987,63.893190025016
1988,65.574959768373
1989,67.192065238838
1990,63.546878949867
1991,54.213553666441
1992,47.583407579188
1993,43.283683975735
1994,44.623780194044
1995,45.484902549522
1996,48.653467409623
1997,51.002884275559
1998,49.822680693681
1999,50.242512244668
2000,50.748206662344
2001,49.100403864482
2002,47.772349094807
2003,46.904263562217
2004,45.908007598067
2005,46.03266543853
2006,47.515199234236
2007,48.603189075921
2008,48.119891668559
2009,48.807203096226
2010,49.400013826166
2011,49.318056239505
2012,50.526386486079
2013,50.896590143897
2014,48.854408703948
2015,50.765162937291
2016,48.856291728022
2017,47.552631160052
2018,47.89437244644
2019,45.406072362466
2020,44.414916048746
2021,43.903641757711
2022,44.376636451403
